date,time,activity,start_time,weekday
2019-05-01,15,prep,320,2
2019-05-01,60,math,335,2
2019-05-01,10,pause,395,2
2019-05-01,60,math,405,2
2019-05-01,90,music,465,2
2019-05-01,98,uni,555,2
2019-05-01,17,music,653,2
2019-05-01,33,cook,670,2
2019-05-01,61,eat,703,2
2019-05-01,31,math,764,2
2019-05-01,30,sleep,795,2
2019-05-01,200,prep,825,2
2019-05-01,42,prep,1025,2
2019-05-01,43,sleep,1067,2
2019-05-01,48,pause,1110,2
2019-05-01,87,prep,1158,2
2019-05-01,30,math,1245,2
2019-05-01,15,pause,1275,2
2019-05-01,30,math,1290,2
2019-05-01,45,eat,1320,2
2019-05-01,10,music,1365,2
2019-05-01,5,prep,1375,2
2019-05-01,630,sleep,1380,2
2019-05-02,40,prep,570,3
2019-05-02,170,uni,610,3
2019-05-02,40,prep,780,3
2019-05-02,10,cook,820,3
2019-05-02,65,eat,830,3
2019-05-02,127,math,895,3
2019-05-02,18,music,1022,3
2019-05-02,31,pause,1040,3
2019-05-02,63,math,1071,3
2019-05-02,31,cook,1134,3
2019-05-02,43,math,1165,3
2019-05-02,82,eat,1208,3
2019-05-02,105,math,1290,3
2019-05-02,10,prep,1395,3
2019-05-02,39,music,1405,3
2019-05-02,61,math,4,3
2019-05-02,15,prep,65,3
2019-05-02,355,sleep,80,3
2019-05-03,75,prep,435,4
2019-05-03,45,uni,510,4
2019-05-03,140,prep,555,4
2019-05-03,120,sleep,695,4
2019-05-03,15,prep,815,4
2019-05-03,21,cook,830,4
2019-05-03,59,eat,851,4
2019-05-03,300,uni,910,4
2019-05-03,10,music,1210,4
2019-05-03,35,cook,1220,4
2019-05-03,58,eat,1255,4
2019-05-03,52,pause,1313,4
2019-05-03,15,meditation,1365,4
2019-05-03,615,sleep,1380,4
2019-05-04,52,prep,555,5
2019-05-04,218,uni,607,5
2019-05-04,45,math,825,5
2019-05-04,17,cook,870,5
2019-05-04,64,eat,887,5
2019-05-04,169,uni,951,5
2019-05-04,32,prep,1120,5
2019-05-04,105,math,1152,5
2019-05-04,63,cook,1257,5
2019-05-04,60,eat,1320,5
2019-05-04,15,prep,1380,5
2019-05-04,15,meditation,1395,5
2019-05-04,412,sleep,1410,5
2019-05-05,128,prep,382,6
2019-05-05,227,uni,510,6
2019-05-05,33,music,737,6
2019-05-05,17,cook,770,6
2019-05-05,53,eat,787,6
2019-05-05,90,uni,840,6
2019-05-05,19,prep,930,6
2019-05-05,86,prep,949,6
2019-05-05,165,math,1035,6
2019-05-05,30,prep,1200,6
2019-05-05,27,music,1230,6
2019-05-05,38,prep,1257,6
2019-05-05,85,eat,1295,6
2019-05-05,20,meditation,1380,6
2019-05-05,506,sleep,1400,6
2019-05-06,104,prep,466,0
2019-05-06,210,uni,570,0
2019-05-06,60,eat,780,0
2019-05-06,20,prep,840,0
2019-05-06,80,uni,860,0
2019-05-06,30,music,940,0
2019-05-06,99,prep,970,0
2019-05-06,123,math,1069,0
2019-05-06,22,music,1192,0
2019-05-06,31,cook,1214,0
2019-05-06,40,pause,1245,0
2019-05-06,100,eat,1285,0
2019-05-06,415,sleep,1385,0
2019-05-07,150,prep,360,1
2019-05-07,217,uni,510,1
2019-05-07,57,music,727,1
2019-05-07,30,cook,784,1
2019-05-07,56,eat,814,1
2019-05-07,105,sleep,870,1
2019-05-07,10,prep,975,1
2019-05-07,185,math,985,1
2019-05-07,40,prep,1170,1
2019-05-07,30,cook,1210,1
2019-05-07,70,eat,1240,1
2019-05-07,40,pause,1310,1
2019-05-07,30,meditation,1350,1
2019-05-07,404,sleep,1380,1
2019-05-08,31,prep,344,2
2019-05-08,90,math,375,2
2019-05-08,50,pause,465,2
2019-05-08,40,prep,515,2
2019-05-08,45,math,555,2
2019-05-08,30,prep,600,2
2019-05-08,30,math,630,2
2019-05-08,55,sleep,660,2
2019-05-08,20,cook,715,2
2019-05-08,63,eat,735,2
2019-05-08,75,math,798,2
2019-05-08,43,prep,873,2
2019-05-08,164,work,916,2
2019-05-08,60,special,1080,2
2019-05-08,69,prep,1140,2
2019-05-08,33,cook,1209,2
2019-05-08,163,eat,1242,2
2019-05-08,455,sleep,1405,2
2019-05-09,120,prep,420,3
2019-05-09,160,uni,540,3
2019-05-09,38,music,700,3
2019-05-09,12,cook,738,3
2019-05-09,39,eat,750,3
2019-05-09,81,uni,789,3
2019-05-09,30,prep,870,3
2019-05-09,155,work,900,3
2019-05-09,150,math,1055,3
2019-05-09,105,pause,1205,3
2019-05-09,65,cook,1310,3
2019-05-09,35,pause,1375,3
2019-05-09,420,sleep,1410,3
2019-05-10,40,prep,390,4
2019-05-10,90,work,430,4
2019-05-10,80,prep,520,4
2019-05-10,120,math,600,4
2019-05-10,36,prep,720,4
2019-05-10,25,cook,756,4
2019-05-10,119,eat,781,4
2019-05-10,105,sleep,900,4
2019-05-10,55,prep,1005,4
2019-05-10,140,work,1060,4
2019-05-10,15,prep,1200,4
