weekday,activity,average_frequency,0-360,360-720,720-1080,1080-1440
0,cook,2.0,0.0,10.0,17.0,38.0
0,eat,2.0,0.0,80.0,79.75,75.0
0,math,2.0,0.0,46.0,96.0,60.0
0,music,1.0,100.0,0.0,36.666666666666664,22.0
0,pause,2.0,0.0,0.0,50.0,67.0
0,prep,3.0,73.5,111.33333333333333,85.0,79.5
0,sleep,1.0,0.0,0.0,0.0,500.0
0,uni,2.0,0.0,165.0,80.0,0.0
0,work,2.0,0.0,156.0,95.0,120.0
1,cook,1.0,0.0,17.0,21.333333333333332,30.0
1,eat,2.0,0.0,0.0,71.8,77.5
1,math,2.0,0.0,90.0,132.25,0.0
1,meditation,1.0,0.0,0.0,0.0,30.0
1,music,1.0,0.0,63.0,48.5,0.0
1,pause,1.0,0.0,0.0,25.0,59.333333333333336
1,prep,3.0,90.0,33.75,45.0,50.5
1,sleep,2.0,0.0,0.0,71.5,434.25
1,uni,1.0,0.0,143.66666666666666,0.0,0.0
1,work,2.0,0.0,114.0,202.0,0.0
2,cook,2.0,0.0,26.5,17.333333333333332,20.333333333333332
2,eat,2.0,0.0,61.0,78.0,92.0
2,math,3.0,60.0,67.5,101.25,43.0
2,meditation,1.0,0.0,0.0,90.0,0.0
2,music,3.0,0.0,53.5,0.0,10.0
2,pause,1.0,0.0,30.0,30.0,36.75
2,prep,5.0,41.5,80.16666666666667,52.857142857142854,63.0
2,sleep,2.0,0.0,152.0,51.0,466.2
2,special,1.0,0.0,0.0,60.0,0.0
2,uni,2.0,0.0,94.0,36.0,0.0
2,work,2.0,0.0,75.0,99.0,65.0
3,cook,2.0,0.0,12.5,12.333333333333334,50.0
3,eat,1.0,0.0,114.0,56.333333333333336,60.5
3,math,2.0,103.0,0.0,132.0,74.0
3,meditation,1.0,0.0,0.0,0.0,45.0
3,music,1.0,0.0,86.0,18.0,39.0
3,pause,2.0,0.0,0.0,31.0,57.0
3,prep,3.0,17.666666666666668,87.5,29.166666666666668,13.5
3,sleep,1.0,355.0,0.0,90.0,375.0
3,special,1.0,0.0,0.0,730.0,0.0
3,uni,1.0,0.0,135.75,68.66666666666667,0.0
3,work,2.0,0.0,45.0,122.5,40.0
4,cook,2.0,0.0,14.0,21.0,32.5
4,eat,1.0,0.0,101.0,75.33333333333333,60.0
4,math,1.0,0.0,76.5,30.0,0.0
4,meditation,1.0,0.0,0.0,0.0,37.5
4,music,1.0,47.5,0.0,0.0,70.75
4,pause,2.0,0.0,0.0,0.0,49.0
4,prep,4.0,15.0,89.66666666666667,130.0,48.333333333333336
4,sleep,2.0,70.0,193.0,96.66666666666667,503.25
4,uni,2.0,0.0,60.0,300.0,0.0
4,work,3.0,64.5,65.66666666666667,100.0,45.0
5,cook,2.0,0.0,17.0,15.5,44.333333333333336
5,eat,2.0,0.0,70.0,58.0,70.5
5,math,2.0,0.0,45.0,100.0,64.33333333333333
5,meditation,1.0,0.0,0.0,0.0,15.0
5,music,1.0,0.0,35.0,0.0,30.0
5,pause,1.0,0.0,0.0,10.0,62.0
5,prep,3.0,0.0,71.4,45.0,66.4
5,sleep,2.0,0.0,0.0,62.5,490.5
5,uni,2.0,0.0,195.25,122.0,0.0
5,work,2.0,0.0,0.0,87.5,0.0
6,cook,1.0,0.0,16.0,17.0,27.0
6,eat,2.0,0.0,114.5,56.5,62.75
6,math,1.0,0.0,0.0,81.0,0.0
6,meditation,2.0,0.0,20.0,0.0,20.0
6,music,1.0,0.0,43.0,33.0,27.0
6,pause,1.0,0.0,0.0,15.0,83.66666666666667
6,prep,3.0,0.0,93.5,34.0,52.8
6,sleep,2.0,0.0,0.0,124.0,469.0
6,uni,1.0,0.0,140.5,90.0,0.0
6,work,2.0,0.0,30.0,210.0,30.0
